中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
193.123.253.75,443,128.14.104.155,US,Singapore,隧道,237 ms,43 Mbps,5590 kB/s
144.24.170.227,443,2a0b:21c0:100a:1b2:0:1dc2:f32c:a68b,DE,Amsterdam,隧道,254 ms,51 Mbps,6590 kB/s
141.148.230.79,443,2a0b:21c0:1007:1ca:0:ddc1:2064:8590,DE,Frankfurt,隧道,253 ms,37 Mbps,4767 kB/s
129.154.201.185,443,128.14.110.204,US,Singapore,隧道,237 ms,62 Mbps,8061 kB/s
130.61.193.196,443,2606:f240:f00:a683:0:3c8:5257:fab6,US,Frankfurt,隧道,371 ms,52 Mbps,6783 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,250 ms,34 Mbps,4435 kB/s
131.186.28.236,443,131.186.28.236,KR,Tokyo,中转,218 ms,36 Mbps,4625 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,248 ms,27 Mbps,3551 kB/s
84.8.159.13,443,2606:f240:f00:a683:0:c0d3:f783:8c98,US,Frankfurt,隧道,261 ms,49 Mbps,6375 kB/s
146.56.147.2,443,2602:ffe4:407:21d9:0:1ce7:6ca9:b6d9,SG,Singapore,隧道,250 ms,2 Mbps,262 kB/s
146.56.44.122,443,2602:ffe4:407:20da:0:a1c1:93af:67e2,SG,Singapore,隧道,251 ms,21 Mbps,2809 kB/s
130.162.189.141,443,2a0b:21c0:1007:1c7:0:d912:c034:3794,DE,Frankfurt,隧道,259 ms,10 Mbps,1370 kB/s
144.21.55.5,443,2a0b:21c0:1007:1cb:0:a21a:f0a8:354c,DE,Frankfurt,隧道,361 ms,38 Mbps,4950 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,264 ms,50 Mbps,6447 kB/s
193.123.35.208,443,2a0b:21c0:100a:1f9:0:8b0e:484a:541c,DE,Frankfurt,隧道,221 ms,16 Mbps,2136 kB/s
158.178.154.175,443,2a0b:21c0:100a:1b2:0:f5bc:5c25:e351,DE,Frankfurt,隧道,385 ms,45 Mbps,5836 kB/s
152.70.170.99,443,2606:f240:f00:6acf:0:d868:4cab:fc51,US,Frankfurt,隧道,250 ms,50 Mbps,6475 kB/s
143.47.230.185,443,2606:f240:f00:b2ed:0:4c6f:d5ac:682,US,Frankfurt,隧道,388 ms,54 Mbps,6934 kB/s
130.162.251.178,443,2a0b:21c0:1007:1c8:0:444a:70dd:655e,DE,Frankfurt,隧道,269 ms,15 Mbps,1969 kB/s
141.147.64.198,443,98.98.156.22,AE,Frankfurt,隧道,374 ms,8 Mbps,1047 kB/s
129.154.192.200,443,2602:ffe4:407:21d9:0:46c5:478d:1c66,SG,Singapore,隧道,229 ms,59 Mbps,7666 kB/s
130.61.114.171,443,130.61.114.171,DE,Frankfurt,中转,259 ms,10 Mbps,1350 kB/s
141.147.71.137,443,2606:f240:f00:6acf:0:2f61:f3b8:410e,US,Frankfurt,隧道,256 ms,41 Mbps,5359 kB/s
150.230.112.25,443,163.123.193.8,DE,Frankfurt,隧道,246 ms,39 Mbps,5093 kB/s
141.144.203.21,443,2a0b:21c0:100a:1b0:0:1aa5:5eb0:328b,DE,Frankfurt,隧道,221 ms,71 Mbps,9169 kB/s
130.162.171.140,443,2a0b:21c0:100a:1b5:0:94d4:89be:e0c,DE,Frankfurt,隧道,377 ms,42 Mbps,5496 kB/s
158.180.51.203,443,2a0b:21c0:100a:1b3:0:5359:3b06:7822,DE,Frankfurt,隧道,246 ms,26 Mbps,3445 kB/s
141.147.80.176,443,2a0b:21c0:100a:1fa:0:746e:fcd3:95b6,DE,Frankfurt,隧道,269 ms,26 Mbps,3395 kB/s
138.2.129.202,443,2a0b:21c0:1007:1ca:0:5505:30b9:3db4,DE,Frankfurt,隧道,256 ms,22 Mbps,2922 kB/s
152.70.54.35,443,163.123.193.24,DE,Frankfurt,隧道,247 ms,34 Mbps,4367 kB/s
132.145.241.98,443,2a0b:21c0:1007:1c8:0:586:c3bd:caf9,DE,Frankfurt,隧道,255 ms,12 Mbps,1647 kB/s
193.123.69.77,443,193.123.69.77,AE,Paris,中转,411 ms,16 Mbps,2053 kB/s
141.147.69.198,443,2a0b:21c0:100a:1b2:0:e89c:9c60:cdfa,DE,Frankfurt,隧道,377 ms,35 Mbps,4504 kB/s
146.56.166.114,443,2602:ffe4:407:21d9:0:559a:3014:2270,SG,Singapore,隧道,240 ms,55 Mbps,7116 kB/s
141.147.14.105,443,2606:f240:f00:eaf1:0:3544:67bb:dc,US,Frankfurt,隧道,370 ms,42 Mbps,5458 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,226 ms,31 Mbps,4077 kB/s
141.147.98.4,443,2606:f240:f00:6acf:0:6bbc:39db:3f62,US,Frankfurt,隧道,249 ms,56 Mbps,7283 kB/s
130.162.226.129,443,163.123.193.6,DE,Frankfurt,隧道,298 ms,53 Mbps,6899 kB/s
150.230.114.147,443,2606:f240:f00:6acf:0:98b9:455c:46fd,US,Frankfurt,隧道,247 ms,52 Mbps,6676 kB/s
144.21.48.212,443,2606:f240:f00:a683:0:b4de:b85e:69f5,US,Frankfurt,隧道,361 ms,48 Mbps,6262 kB/s
130.162.60.11,443,2a0b:21c0:1007:1cb:0:aa50:e1c7:7882,DE,Frankfurt,隧道,283 ms,35 Mbps,4533 kB/s
129.159.197.95,443,2606:f240:f00:b2ed:0:c503:8430:683d,US,Frankfurt,隧道,252 ms,40 Mbps,5199 kB/s
130.162.128.245,443,2602:ffe4:407:20da:0:ce61:c14:227,SG,Singapore,隧道,380 ms,53 Mbps,6817 kB/s
143.47.237.217,443,2a0b:21c0:1007:1c8:0:8a46:bcbc:240d,DE,Frankfurt,隧道,252 ms,29 Mbps,3771 kB/s
131.186.42.153,443,2602:ffe4:407:20da:0:4010:9fd3:5c1b,SG,Singapore,隧道,266 ms,79 Mbps,10137 kB/s
152.69.228.180,443,2602:ffe4:407:20d9:0:4ee2:a44d:294e,SG,Singapore,隧道,150 ms,100 Mbps,12800 kB/s
158.101.208.175,443,2a0b:21c0:1007:1c8:0:8618:976c:52c3,DE,Frankfurt,隧道,251 ms,39 Mbps,5116 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,374 ms,31 Mbps,4059 kB/s
143.47.234.97,443,2a0b:21c0:1007:c9:0:bb0e:5456:2486,DE,Frankfurt,隧道,253 ms,7 Mbps,989 kB/s
141.147.103.107,443,2606:f240:f00:46c4:0:9612:5bb:8a6a,US,Frankfurt,隧道,252 ms,53 Mbps,6874 kB/s
