中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟
47.242.57.106,443,47.76.109.172,HK,Hong Kong,隧道,55 ms
8.217.90.154,443,8.217.90.154,HK,Hong Kong,中转,53 ms
47.238.235.163,443,47.238.235.163,HK,Hong Kong,中转,68 ms
8.211.19.50,443,98.98.166.194,AE,Frankfurt,隧道,202 ms
8.218.63.172,443,8.218.63.172,HK,Hong Kong,中转,53 ms
47.76.180.193,443,47.76.109.172,HK,Hong Kong,隧道,53 ms
47.238.245.170,443,47.238.245.170,HK,Hong Kong,中转,53 ms
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,58 ms
47.242.60.161,443,47.242.60.161,HK,Hong Kong,中转,92 ms
47.76.178.146,443,47.76.178.146,HK,Hong Kong,中转,58 ms
8.217.132.184,443,8.217.132.184,HK,Hong Kong,中转,59 ms
47.57.245.232,443,47.88.1.44,US,San Jose,隧道,59 ms
47.238.164.202,443,47.238.164.202,HK,Hong Kong,中转,49 ms
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,145 ms
47.242.68.32,443,47.242.68.32,HK,Hong Kong,中转,53 ms
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,56 ms
8.209.64.231,443,98.98.166.178,AE,Frankfurt,隧道,201 ms
47.251.74.226,443,91.149.239.70,US,Los Angeles,隧道,235 ms
8.211.33.23,443,2a0b:21c0:1007:1ca:0:41a8:40bf:9d64,DE,Frankfurt,隧道,199 ms
47.57.14.118,443,47.254.95.194,US,San Jose,隧道,51 ms
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,255 ms
8.222.225.193,443,8.222.225.193,SG,Singapore,中转,256 ms
47.254.176.9,443,163.123.193.5,DE,Frankfurt,隧道,194 ms
8.211.8.143,443,2a0b:21c0:100a:1b0:0:2d02:3dcd:a84f,DE,Frankfurt,隧道,274 ms
47.90.201.189,443,47.90.201.189,US,Ashburn,中转,282 ms
8.209.110.160,443,2a0b:21c0:1007:c7:0:4b75:4577:3ee5,DE,Frankfurt,隧道,203 ms
8.209.96.236,443,2a0b:21c0:100a:1b2:0:88cd:8a68:d08,DE,Frankfurt,隧道,206 ms
47.236.164.215,443,47.236.164.215,SG,Singapore,中转,439 ms
8.222.181.139,443,8.222.175.6,SG,Singapore,隧道,251 ms
47.236.117.48,443,47.236.117.48,SG,Singapore,中转,415 ms
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,270 ms
8.209.80.39,443,2a0b:21c0:1007:1cb:0:121:1fb:e97c,DE,Frankfurt,隧道,303 ms
8.211.38.214,443,2606:f240:f00:83a7:0:8460:a600:61e6,US,Frankfurt,隧道,319 ms
47.254.144.72,443,2a0b:21c0:1007:cb:0:635d:55e4:a0db,DE,Frankfurt,隧道,1216 ms
47.236.146.249,443,47.236.146.249,SG,Singapore,中转,428 ms
